Spoken form, Cursorless identifier
blue, blue
green, green
pink, pink
red, red
yellow, yellow
gold, yellow
,
,
# 2025-12-22 09:16:37 - New entries automatically added by cursorless,
bolt, bolt
curve, curve
brow, curve
,
# 2025-12-22 09:16:39 - New entries automatically added by cursorless,
fox, fox
ears, fox
frame, frame
box, frame
play, play
wing, wing
,
# 2025-12-22 09:16:41 - New entries automatically added by cursorless,
cross, crosshairs
star, crosshairs
ex, ex
hole, hole
,
# 2025-12-22 09:16:43 - New entries automatically added by cursorless,
eye, eye
eyeball, eye
,
# 2025-12-22 09:17:21 - New entries automatically added by cursorless,
purple, userColor2
navy, userColor1
